spot,strike,vol,maturity_days,rate,div_yield,binomial_price,mc_price
162.55605463628694,131.41674216244337,0.28436627165072054,853,0.043488204813320275,0.044778619910577584,39.24505556008497,39.272410672709775
111.36387737574164,13.144744378829184,0.28696759056966437,754,0.06881171639056018,0.01557384413149979,96.43070063780476,96.8460525818519
111.06212100585645,23.172969274021607,0.3744788985850227,385,0.026801420555521,0.03454930442636062,84.55941984733177,84.52266501229963
135.58114809911476,88.09410547660165,0.05817924991787907,443,-0.006954155994558779,0.06510709361958819,36.434180723434444,36.43482946856194
71.51016558906586,122.27406380213291,0.3039204394596886,443,-0.018785329790693577,0.03461241585807423,0.43275076869523144,0.4568262536320406
139.01907126179043,64.94200153112271,0.47077285024217086,940,0.011006271521383601,0.05605823016074361,64.00615741029077,63.15920623186234
41.0227373062905,140.7214140365848,0.3522504905180416,255,0.018223178931350423,0.012740630494681594,5.094489992669809e-05,0.0
5.6863233694179725,131.31518898440808,0.1733502292866006,949,0.013790820142886916,0.04085023867834961,0.0,0.0
18.11255705627557,51.08688477659942,0.2921498941965524,812,-0.0043545313157679,0.03327520794600126,0.01931191039959342,0.01916727230362044
39.994412564554544,95.7218178712179,0.25933125907486354,823,0.009202302672659243,0.017061608376125612,0.08528626900614339,0.08112806987723181
114.64894270439412,6.000471991043717,0.20566909782954557,714,0.03610337197208251,0.04831318663829966,98.71764641534443,99.00203568960843
98.38030827579935,176.4400232047959,0.13676263642441117,836,0.03441958646400878,0.06389015878765736,0.005012723749688423,0.003094485779394037
166.42982358480725,111.62192249637671,0.06853804954287425,573,0.04994768636737597,0.038033500872727284,53.57945512156109,53.53357340661933
24.708858078895705,4.726553337987173,0.3403467480642818,323,0.02194059527142903,0.002271730209400138,20.023495066850618,19.90907042620054
49.96562828761492,9.913895079136557,0.08184223755971393,631,-0.007871670339812845,0.012320178057035154,38.86261539251703,38.77797683831171
31.972552145546118,169.6024423933396,0.1360799489525567,288,0.06684547826796405,0.00166801911941878,0.0,0.0
196.43886859413675,29.677147135703255,0.22187337536476825,705,0.07204963723158146,0.041812774856430375,155.37413099573277,156.43531435309043
0.06535939959997614,33.54229880407666,0.4193815235677449,280,-0.0034536430895478684,0.01557631469075254,0.0,0.0
4.503237475472656,36.76044934165559,0.3433606930903486,536,0.019361933054924948,0.07462647554428911,3.633008767425731e-08,0.0
173.20007145031215,57.167363629493074,0.4687128122213051,603,0.04592877031710667,0.03503460029446055,111.10079337582657,112.86273175376402
33.69017906329003,113.68603941889045,0.4618121365775869,825,0.0022882223777813855,0.05082032102447325,0.41366527217736315,0.4909349623991302
106.01656033760004,11.39216426724323,0.3178624900528023,154,-0.008970937097134628,0.06255516840437195,91.81891795252021,91.77705981686165
188.7782078117087,61.25806475722811,0.4289254786057434,476,0.0224241133376122,0.06673011616438987,113.78768894276286,112.63297521575238
82.4536905237897,36.897429490805905,0.2460041098062205,960,-0.014634011108851878,0.003109580861107206,43.670913747423164,43.247400980404706
146.66972803417653,68.69180416841938,0.2799877720211673,819,0.04993405305751053,0.02898295096149587,76.40933584542029,75.66825148078469
160.40044521638077,93.56037336672715,0.10914224073497082,721,0.010778433480100144,0.031364109133887624,59.175922718515224,58.918524606534696
123.78765357744123,45.5851187111919,0.20985910231254873,588,-0.005763774723175002,0.07313869671787622,64.01007341900393,64.63788677102244
30.65098427874057,78.66307735683654,0.2331043084802899,694,-0.01771251957212498,0.047374425877798824,0.0017209801642046401,0.004762163713232184
153.2591651927558,174.490813686627,0.40330808842404264,1006,0.04389536134908459,0.001957124731088591,39.0874745657291,38.669672787958774
134.75466809167986,80.41957470041113,0.16007243515834696,398,-0.01869015324220579,0.07576826443032161,42.020104443470956,41.97237292146269
47.94053988852854,56.11287180428382,0.2831751171022631,433,0.024635628699604447,0.07182227202010553,2.1843791430634916,2.1356924434643605
148.36717313122242,139.73251885185903,0.43786295372319833,396,0.053951510407937345,0.046738936341530306,29.539719106044743,29.671811021463178
81.91748682528333,97.16280261950709,0.33717964014007595,292,0.07367125506393114,0.03468818041250049,5.369578738899669,5.249503614176359
62.503574611712125,57.95708562701173,0.3802987924686172,567,-0.00782718808429446,0.021710440079736684,12.064584448363046,11.808568802875188
99.33495976979458,41.93888210481327,0.3767971278865781,598,0.00623097288349574,0.02653765101139765,54.098386845372566,54.10658182776023
74.85091738037138,106.39913081166358,0.1757139296784923,909,-0.015276402257385805,0.04826917884516654,0.3059171648522482,0.3354981474466619
54.99249515047329,110.42118674932283,0.4211006084131809,1055,0.024051212484801122,0.038922092728798735,3.8059593369419824,3.544541155983657
194.30158822770156,3.173084500238372,0.41775313113856594,480,0.023854019518934583,0.018275875461605154,186.60863621185493,186.18147048219248
16.814618575089018,153.5604573014277,0.20804258248098545,649,0.00655490927823996,0.06568918422421584,4.353533417316527e-19,0.0
51.16414857031069,47.62180940107748,0.19666340575567975,278,0.03157197092558932,0.00579668273534228,6.0125239875021474,6.083351424522134
39.50017546628459,143.75114585057963,0.3619409505407439,983,0.002973850456223434,0.06865382044833655,0.08299025609037387,0.06762984781365171
63.25668491104065,49.81189519371395,0.28378725850628206,757,0.004925681008337443,0.01329916735904133,16.340288829811122,16.153054164233705
22.87379288127356,89.59142463295042,0.3906830839603394,1056,0.049158697817317853,0.03294466782658943,0.22295384865366785,0.20004979731366285
136.23191781650814,98.70927567767932,0.3165200971286284,382,-0.017254311573181094,0.035907207958121044,34.919834198779846,35.262569530369674
157.96281535206506,44.055585589950525,0.27597797599160934,480,0.002585671475174897,0.04960329179346704,104.07677843773291,103.84360842879796
